840,1939,3038,4137,5236,6335,7434,8533,9632,10731,11830,12929,14028,15127,16226,17325
3020,7324,11628,15932,20236,24540,28844,33148,37452,41756,46060,50364,54668,58972,63276,67580
6550,16165,25780,35395,45010,54625,64240,73855,83470,93085,102700,112315,121930,131545,141160,150775
11430,28462,45494,62526,79558,96590,113622,130654,147686,164718,181750,198782,215814,232846,249878,266910
17660,44215,70770,97325,123880,150435,176990,203545,230100,256655,283210,309765,336320,362875,389430,415985
25240,63424,101608,139792,177976,216160,254344,292528,330712,368896,407080,445264,483448,521632,559816,598000
34170,86089,138008,189927,241846,293765,345684,397603,449522,501441,553360,605279,657198,709117,761036,812955
44450,112210,179970,247730,315490,383250,451010,518770,586530,654290,722050,789810,857570,925330,993090,1060850
56080,141787,227494,313201,398908,484615,570322,656029,741736,827443,913150,998857,1084564,1170271,1255978,1341685
69060,174820,280580,386340,492100,597860,703620,809380,915140,1020900,1126660,1232420,1338180,1443940,1549700,1655460
83390,211309,339228,467147,595066,722985,850904,978823,1106742,1234661,1362580,1490499,1618418,1746337,1874256,2002175
99070,251254,403438,555622,707806,859990,1012174,1164358,1316542,1468726,1620910,1773094,1925278,2077462,2229646,2381830
116100,294655,473210,651765,830320,1008875,1187430,1365985,1544540,1723095,1901650,2080205,2258760,2437315,2615870,2794425
134480,341512,548544,755576,962608,1169640,1376672,1583704,1790736,1997768,2204800,2411832,2618864,2825896,3032928,3239960
154210,391825,629440,867055,1104670,1342285,1579900,1817515,2055130,2292745,2530360,2767975,3005590,3243205,3480820,3718435
175290,445594,715898,986202,1256506,1526810,1797114,2067418,2337722,2608026,2878330,3148634,3418938,3689242,3959546,4229850
197720,502819,807918,1113017,1418116,1723215,2028314,2333413,2638512,2943611,3248710,3553809,3858908,4164007,4469106,4774205
221500,563500,905500,1247500,1589500,1931500,2273500,2615500,2957500,3299500,3641500,3983500,4325500,4667500,5009500,5351500
246630,627637,1008644,1389651,1770658,2151665,2532672,2913679,3294686,3675693,4056700,4437707,4818714,5199721,5580728,5961735
273110,695230,1117350,1539470,1961590,2383710,2805830,3227950,3650070,4072190,4494310,4916430,5338550,5760670,6182790,6604910
300940,766279,1231618,1696957,2162296,2627635,3092974,3558313,4023652,4488991,4954330,5419669,5885008,6350347,6815686,7281025
330120,840784,1351448,1862112,2372776,2883440,3394104,3904768,4415432,4926096,5436760,5947424,6458088,6968752,7479416,7990080
360650,918745,1476840,2034935,2593030,3151125,3709220,4267315,4825410,5383505,5941600,6499695,7057790,7615885,8173980,8732075
392530,1000162,1607794,2215426,2823058,3430690,4038322,4645954,5253586,5861218,6468850,7076482,7684114,8291746,8899378,9507010
425760,1085035,1744310,2403585,3062860,3722135,4381410,5040685,5699960,6359235,7018510,7677785,8337060,8996335,9655610,10314885
460340,1173364,1886388,2599412,3312436,4025460,4738484,5451508,6164532,6877556,7590580,8303604,9016628,9729652,10442676,11155700
496270,1265149,2034028,2802907,3571786,4340665,5109544,5878423,6647302,7416181,8185060,8953939,9722818,10491697,11260576,12029455
533550,1360390,2187230,3014070,3840910,4667750,5494590,6321430,7148270,7975110,8801950,9628790,10455630,11282470,12109310,12936150
572180,1459087,2345994,3232901,4119808,5006715,5893622,6780529,7667436,8554343,9441250,10328157,11215064,12101971,12988878,13875785
612160,1561240,2510320,3459400,4408480,5357560,6306640,7255720,8204800,9153880,10102960,11052040,12001120,12950200,13899280,14848360
653490,1666849,2680208,3693567,4706926,5720285,6733644,7747003,8760362,9773721,10787080,11800439,12813798,13827157,14840516,15853875
696170,1775914,2855658,3935402,5015146,6094890,7174634,8254378,9334122,10413866,11493610,12573354,13653098,14732842,15812586,16892330
740200,1888435,3036670,4184905,5333140,6481375,7629610,8777845,9926080,11074315,12222550,13370785,14519020,15667255,16815490,17963725
785580,2004412,3223244,4442076,5660908,6879740,8098572,9317404,10536236,11755068,12973900,14192732,15411564,16630396,17849228,19068060
832310,2123845,3415380,4706915,5998450,7289985,8581520,9873055,11164590,12456125,13747660,15039195,16330730,17622265,18913800,20205335
880390,2246734,3613078,4979422,6345766,7712110,9078454,10444798,11811142,13177486,14543830,15910174,17276518,18642862,20009206,21375550
929820,2373079,3816338,5259597,6702856,8146115,9589374,11032633,12475892,13919151,15362410,16805669,18248928,19692187,21135446,22578705
980600,2502880,4025160,5547440,7069720,8592000,10114280,11636560,13158840,14681120,16203400,17725680,19247960,20770240,22292520,23814800
1032730,2636137,4239544,5842951,7446358,9049765,10653172,12256579,13859986,15463393,17066800,18670207,20273614,21877021,23480428,25083835
1086210,2772850,4459490,6146130,7832770,9519410,11206050,12892690,14579330,16265970,17952610,19639250,21325890,23012530,24699170,26385810
1141040,2913019,4684998,6456977,8228956,10000935,11772914,13544893,15316872,17088851,18860830,20632809,22404788,24176767,25948746,27720725
1197220,3056644,4916068,6775492,8634916,10494340,12353764,14213188,16072612,17932036,19791460,21650884,23510308,25369732,27229156,29088580
1254750,3203725,5152700,7101675,9050650,10999625,12948600,14897575,16846550,18795525,20744500,22693475,24642450,26591425,28540400,30489375
1313630,3354262,5394894,7435526,9476158,11516790,13557422,15598054,17638686,19679318,21719950,23760582,25801214,27841846,29882478,31923110
1373860,3508255,5642650,7777045,9911440,12045835,14180230,16314625,18449020,20583415,22717810,24852205,26986600,29120995,31255390,33389785
1435440,3665704,5895968,8126232,10356496,12586760,14817024,17047288,19277552,21507816,23738080,25968344,28198608,30428872,32659136,34889400
1498370,3826609,6154848,8483087,10811326,13139565,15467804,17796043,20124282,22452521,24780760,27108999,29437238,31765477,34093716,36421955
1562650,3990970,6419290,8847610,11275930,13704250,16132570,18560890,20989210,23417530,25845850,28274170,30702490,33130810,35559130,37987450
1628280,4158787,6689294,9219801,11750308,14280815,16811322,19341829,21872336,24402843,26933350,29463857,31994364,34524871,37055378,39585885
1695260,4330060,6964860,9599660,12234460,14869260,17504060,20138860,22773660,25408460,28043260,30678060,33312860,35947660,38582460,41217260
